House ID,Household Size,Primary Fuel,Fuel mass (KG),Time taken (days),Solid waste/day (Kg),Daily Fuel Usage (KG/day),Gross Energy per day (MJ/day),Useful Energy per day (MJ/day),LPG-equivalent demand (kg/day)
W001,3,LPG,12.5,45,1.2,0.2777777777777778,12.63888888888889,6.951388888888889,0.2777777777777778
W002,4,LPG,12.5,40,1.8,0.3125,14.21875,7.820312500000001,0.3125
W003,4,LPG,12.5,42,0.8,0.2976190476190476,13.541666666666666,7.447916666666667,0.2976190476190476
W004,1,LPG,3.0,50,0.3,0.06,2.73,1.5015,0.06
W005,5,Firewood,12.5,30,2.7,0.4166666666666667,18.958333333333336,10.427083333333336,0.41666666666666674
W006,4,Firewood,12.5,35,1.4,0.35714285714285715,16.25,8.9375,0.3571428571428571
W007,4,LPG,20.0,65,1.4,0.3076923076923077,14.0,7.700000000000001,0.3076923076923077
W008,6,firewood,12.5,25,2.2,0.5,22.75,12.512500000000001,0.5
W009,3,charcoal,12.5,45,0.9,0.2777777777777778,12.63888888888889,6.951388888888889,0.2777777777777778
W010,4,LPG,15.0,35,1.6,0.42857142857142855,19.5,10.725000000000001,0.4285714285714286
W011,10,Charcoal,8.3,2,3.7,4.15,122.84000000000002,24.568000000000005,0.9817382617382618
W012,2,Charcoal,6.0,50,0.6,0.12,5.46,3.003,0.12
W013,3,LPG,12.5,45,1.1,0.2777777777777778,12.63888888888889,6.951388888888889,0.2777777777777778
W014,5,LPG,15.0,40,2.3,0.375,17.0625,9.384375,0.375
W015,5,Charcoal,50.0,7,8.8,7.142857142857143,211.42857142857144,42.28571428571429,1.6897388325959755
W016,7,Charcoal,16.67,5,1.5,3.3340000000000005,98.68640000000002,19.737280000000005,0.7887024975024977
W017,2,LPG,6.0,50,0.4,0.12,5.46,3.003,0.12
W018,5,LPG,12.5,33,1.2,0.3787878787878788,17.234848484848484,9.479166666666668,0.3787878787878788
W019,5,Firewood,12.5,35,1.3,0.35714285714285715,16.25,8.9375,0.3571428571428571
W020,6,Charcoal,4.0,1,1.3,4.0,118.4,23.680000000000003,0.9462537462537463
